target,feature,weight
y,parquet,145.96712348938354
y,portaria,143.17323397579457
y,forte,142.8625778107671
y,interna,140.50293476329534
y,maquina,140.03562433998013
y,arejado,139.69760787758423
y,diurna,139.49740488484395
y,amplo,133.44590285233426
y,14,132.54454096451082
y,ensolarado,131.25912394261468
y,germano,129.3972785855949
y,francisco,128.74261675964226
y,aquecedor,127.42560931324988
y,sistema,126.66776398135698
y,secar,125.98174513141566
y,posto,125.83925335710774
y,bem,124.5858387360604
y,split,123.66977351006062
y,roupas,122.73038007305149
y,infraestrutura,121.72768087306031
y,campus,120.9810545721848
y,bicicletario,119.80926029662078
y,posicao,119.18129272730744
y,segundo,116.69473257169011
y,nilo,112.19071982693276
y,16,107.90640247947886
y,loureiro,103.3914477395083
y,ondas,99.7527125082197
y,micro,99.7527125082197
y,parte,98.72331057753763
y,tanque,96.28923489301815
y,sul,96.17596927928389
y,manha,95.96157656673313
y,oferecer,92.5932233049266
y,alugue,89.35727519617649
y,burocracia,89.35727519617649
y,spa,89.17077854710078
y,armarios,86.38670417469984
y,proximo,85.57482093436556
y,11,85.50544958448882
y,privilegiada,83.3508918878506
y,externa,80.54629478318384
y,embutido,80.48876801079314
y,pilotis,79.45939666894265
y,teatro,77.26404198471573
y,mercados,74.28033166281239
y,eletronica,74.1209566534817
y,otimo,70.89535731644719
y,ambos,69.27242703107186
y,ceramica,68.72775956977785
y,vaga,66.83235283411341
y,mt,66.02720418119861
y,sendo,62.18472626434959
y,cel,58.44563228573679
y,microondas,57.85033286247199
y,noturna,56.31651691188745
y,sampaio,55.07014888036247
y,tubino,55.07014888036247
y,mercado,51.93873939446348
y,ambiente,49.230764526029816
y,vista,48.51447908211048
y,freezer,47.42854954001814
y,depurador,47.41479174749247
y,localizado,47.21262490557274
y,goethe,45.531304370703765
y,caxias,40.51855901666568
y,duque,40.51855901666568
y,coberta,37.47918589170149
y,rua,37.32712161690506
y,fundos,36.19337623118918
y,lateral,31.222615831082294
y,comercio,30.353978746104985
y,academia,29.521906491048867
y,escritorio,25.411217627464794
y,sofa,25.37432589087257
y,cadeirantes,25.03748118387739
y,servico,23.842929695150815
y,saldanha,20.63246739160968
y,sao,18.69357189684297
y,venancio,7.872457975461657
y,aires,7.872457975461657
y,proxima,6.762551171310406
y,deg,6.240906641498441
y,assis,5.9920684501412325
y,carazinho,2.5816602769245947
y,travessa,2.0866947891772725
y,acrilico,0.7881065243927878
y,fica,0.28181543838582
y,agua,-1.5851181417820044
y,farrapos,-1.828742067420535
y,banheira,-2.0899326758108145
y,master,-2.4744219267740846
y,churrasqueiras,-2.688922851390089
y,junior,-5.434239555732347
y,armario,-5.824758133192518
y,zaffari,-6.6898702507878625
y,ufrgs,-7.667247603800206
y,andar,-8.373339117144496
y,proprietario,-8.596307697196607
y,felix,-11.363268724446243
y,barbosa,-11.500782479703048
y,delmar,-11.500782479703048
y,centro,-12.158044227231585
y,faculdade,-15.332185933250003
y,tarde,-17.08273284038296
y,avenidas,-19.948412923324213
y,72,-20.261878641557814
y,playground,-23.172095410584006
y,secadora,-23.44789869437227
y,oferece,-23.508664443572343
y,terraco,-25.655087883613305
y,americana,-29.287948266779722
y,fitness,-29.806121960558812
y,73,-39.310823868396255
y,televisao,-41.61370769678251
y,melhor,-44.04070094181225
y,orientacao,-44.349663978358876
y,completo,-45.00275111675728
y,auxiliar,-45.45056116316846
y,patria,-51.89848566566849
y,hrs,-53.30079085277248
y,10,-54.08967914726509
y,apartamento,-56.034122477678466
